nom,prenom,sexe,age,code_postal,situation_matrimoniale,profession,secteur_dactivite,date_deffet_souhaitee,accepted_by_sales
Fleury,René,H,48,54112,Pacsé(e),Recherche d'emploi,Ingénierie (Atlas),25/09/2022,0
Dubois,Nicolas,H,50,42430,Veuf(ve),Chef(fe) d'entreprise,Ingénierie (Atlas),09/10/2022,0
Dupuis,Jacques,H,22,34160,Divorcé(e),Fonctionnaire territorial,Industrie : la Fabrique de l’avenir,21/09/2022,0
Lejeune,Pierre,H,67,51110,Divorcé(e),Etudiant(e),Production et services (artisanat),21/09/2022,0
Carlier,René,H,22,52130,Marié(e) sans enfant,Enseignant(e),Commerce à distance et e-commerce,22/09/2022,0
Duval,Georges,H,25,41170,Pacsé(e),Agriculteur(trice),Bâtiment (artisanat),04/10/2022,0
Lemaitre,Pierre,H,57,47370,Célibataire,Salarié(e) non-cadre,Grands magasins et magasins populaires,09/10/2022,0
Benoit,Claude,H,33,34280,Divorcé(e),Retraité(e),Matériaux pour la construction et l’industrie,07/10/2022,0
Le Roux,Nicolas,H,58,69009,Divorcé(e),Sans profession,Commerce à distance et e-commerce,22/09/2022,0
Gautier,Alain,H,18,47120,Pacsé(e),Retraité(e),Automobile - Services,12/10/2022,0
Meyer,Georges,H,33,58420,Marié(e) avec enfant,Recherche d'emploi,Evénement,14/10/2022,0
Robin,Christian,H,22,22350,Veuf(ve),Recherche d'emploi,Propreté,01/10/2022,0
Henry,Louis,H,30,48210,Veuf(ve),Agriculteur(trice),Papiers et cartons (industries),28/09/2022,0
Fabre,Alain,H,42,76190,Marié(e) avec enfant,Salarié(e) non-cadre,Plasturgie,23/09/2022,0
Charles,Michel,H,69,76530,Marié(e) sans enfant,Artisan,Médicament (Les entreprises du),25/09/2022,0
Renard,Roger,H,54,40320,Marié(e) avec enfant,Artisan,Textile,14/10/2022,0
Gaillard,André,H,29,42430,Divorcé(e),Artisan,"Fabrication, maintenance et réparation (artisanat)",25/09/2022,0
Robert,Louis,H,56,63200,Marié(e) avec enfant,Chef(fe) d'entreprise,Commerces de détail non alimentaires,11/10/2022,0
Rolland,Michel,H,70,39110,Marié(e) avec enfant,Retraité(e),Télécommunications,11/10/2022,0
Gay,Jacques,H,58,33124,Célibataire,Commerçant(e),"Economie sociale, habitat social et protection sociale",27/09/2022,0
Marie,Henri,H,19,30230,Divorcé(e),Enseignant(e),Evénement,13/10/2022,0
Jacquet,Georges,H,57,59151,Marié(e) avec enfant,Fonctionnaire hospitalier,Numérique (Atlas),08/10/2022,0
